player,school,lat,lng
Gorgui Dieng,Louisville  ,38.2122761,-85.7585023
Anthony Tolliver,Creighton  ,41.2655521,-95.9463862
Justise Winslow,Duke  ,36.0014258,-78.9382286
Duncan Robinson,Michigan  ,42.2780436,-83.7382241
Kendrick Nunn,Oakland  ,42.6679486,-83.2081632
Kelly Olynyk,Gonzaga  ,47.6670321,-117.4014343
Derrick Jones Jr.,UNLV  ,36.1085197,-115.1431709
Jimmy Butler,Marquette  ,43.0388337,-87.9285667
Tyler Herro,Kentucky  ,38.0306511,-84.5039697
Meyers Leonard,Illinois  ,40.1019523,-88.2271615
Chris Silva,South Carolina  ,33.9937575,-81.0299186
Andre Iguodala,Arizona  ,32.2318851,-110.9501094
Jae Crowder,Marquette  ,43.0388337,-87.9285667
Solomon Hill,Arizona  ,32.2318851,-110.9501094
Udonis Haslem,Florida  ,29.6436325,-82.3549302
Brook Lopez,Stanford  ,37.4274745,-122.169719
Wesley Matthews,Marquette  ,43.0388337,-87.9285667
Pat Connaughton,Notre Dame  ,41.7055716,-86.2353388
Donte DiVincenzo,Villanova  ,40.0378952,-75.3433315
Robin Lopez,Stanford  ,37.4274745,-122.169719
Khris Middleton,Texas A&M  ,30.6090918,-96.3337124
Eric Bledsoe,Kentucky  ,38.0306511,-84.5039697
George Hill,IUPUI  ,39.7742579,-86.1762629
Kyle Korver,Creighton  ,41.2655521,-95.9463862
Sterling Brown,Southern Methodist  ,32.8412178,-96.7845175
D.J. Wilson,Michigan  ,42.2780436,-83.7382241
Marvin Williams,North Carolina  ,35.9049122,-79.0469134
Frank Mason,Kansas  ,38.9543439,-95.2557961
Cameron Reynolds,Tulane ,29.9407282,-90.1203167
Jarrett Culver,Texas Tech  ,33.5842591,-101.8782822
Josh Okogie,Georgia Institute of Technology  ,33.7756178,-84.396285
Karl-Anthony Towns,Kentucky  ,38.0306511,-84.5039697
Kelan Martin,Butler  ,39.8405491,-86.1708927
Naz Reid,LSU  ,30.4132579,-91.1800023
Jordan McLaughlin,USC  ,34.0223519,-118.285117
Jake Layman,Maryland  ,38.9869183,-76.9425543
Jaylen Nowell,Washington  ,38.6487895,-90.3107962
Malik Beasley,Florida State  ,30.4418778,-84.2984889
James Johnson,Wake Forest  ,36.1355052,-80.2791958
D'Angelo Russell,Ohio State  ,40.0066723,-83.0304546
Jarred Vanderbilt,Kentucky  ,38.0306511,-84.5039697
Jacob Evans,Cincinnati  ,39.1329219,-84.5149504
Evan Turner,Ohio State  ,40.0066723,-83.0304546
Omari Spellman,Villanova  ,40.0378952,-75.3433315
Josh Hart,Villanova  ,40.0378952,-75.3433315
Jaxson Hayes,Texas  ,30.2849185,-97.7340567
Lonzo Ball,UCLA  ,34.068921,-118.4451811
Brandon Ingram,Duke  ,36.0014258,-78.9382286
Jrue Holiday,UCLA  ,34.068921,-118.4451811
JJ Redick,Duke  ,36.0014258,-78.9382286
Frank Jackson,Duke  ,36.0014258,-78.9382286
E'Twaun Moore,Purdue  ,40.4237054,-86.9211946
Derrick Favors,Georgia Tech  ,33.7756178,-84.396285
Nickeil Alexander-Walker,Virginia Tech  ,37.2283843,-80.4234167
Kenrich Williams,TCU ,32.7095936,-97.3635602
Jahlil Okafor,Duke  ,36.0014258,-78.9382286
Zion Williamson,Duke  ,36.0014258,-78.9382286
Sindarius Thornwell,South Carolina  ,33.9937575,-81.0299186
Josh Gray,LSU  ,30.4132579,-91.1800023
Darius Miller,Kentucky  ,38.0306511,-84.5039697
Bobby Portis,Arkansas  ,36.0686895,-94.1748471
Kevin Knox,Kentucky  ,38.0306511,-84.5039697
Julius Randle,Kentucky  ,38.0306511,-84.5039697
Taj Gibson,USC  ,34.0223519,-118.285117
RJ Barrett,Duke  ,36.0014258,-78.9382286
Damyean Dotson,Houston  ,29.7199489,-95.3422334
Elfrid Payton,Louisana-Lafayette  ,30.2114404,-92.0204121
Wayne Ellington,North Carolina  ,35.9049122,-79.0469134
Dennis Smith Jr.,North Carolina State  ,35.7846633,-78.6820946
Reggie Bullock,North Carolina  ,35.9049122,-79.0469134
Maurice Harkless,"St. John's, N.Y.  ",40.7220627,-73.7942112
Ignas Brazdeikis,Michigan  ,42.2780436,-83.7382241
Theo Pinson,North Carolina ,35.9049122,-79.0469134
Shai Gilgeous-Alexander,Kentucky  ,38.0306511,-84.5039697
Chris Paul,Wake Forest  ,36.1355052,-80.2791958
Steven Adams,Pittsburgh  ,40.4443533,-79.960835
Nerlens Noel,Kentucky  ,38.0306511,-84.5039697
Abdel Nader,Iowa State  ,42.0266573,-93.6464516
Mike Muscala,Bucknell  ,40.9547722,-76.8850759
Hamidou Diallo,Kentucky  ,38.0306511,-84.5039697
Deonte Burton,Iowa State  ,42.0266573,-93.6464516
Luguentz Dort,Arizona State  ,33.4532165,-112.0719833
Devon Hall,Virginia  ,38.0335529,-78.5079772
Andre Roberson,Colorado  ,40.007581,-105.2659417
Markelle Fultz,Washington  ,38.6487895,-90.3107962
Terrence Ross,Washington  ,38.6487895,-90.3107962
Aaron Gordon,Arizona  ,32.2318851,-110.9501094
D.J. Augustin,Texas  ,30.2849185,-97.7340567
Wes Iwundu,Kansas State  ,39.1974437,-96.5847249
Khem Birch,UNLV  ,36.1085197,-115.1431709
Michael Carter-Williams,Syracuse  ,43.0391534,-76.1351158
Jonathan Isaac,Florida State  ,30.4418778,-84.2984889
Gary Clark,"	Cincinnati  ",39.1329219,-84.5149504
James Ennis,Cal State-Long Beach  ,33.7838235,-118.1140904
Melvin Frazier,Tulane  ,29.9407282,-90.1203167
Al-Farouq Aminu,Wake Forest  ,36.1355052,-80.2791958
BJ Johnson,"	La Salle  ",40.0390693,-75.155795
Vic Law,Northwestern  ,42.0564594,-87.675267
Tobias Harris,Tennessee  ,35.9544013,-83.9294564
Mike Scott,Virginia  ,38.0335529,-78.5079772
Al Horford,Florida  ,29.6436325,-82.3549302
Matisse Thybulle,Washington  ,38.6487895,-90.3107962
Ben Simmons,Louisiana State  ,30.4132579,-91.1800023
Josh Richardson,Tennessee  ,35.9544013,-83.9294564
Joel Embiid,Kansas  ,38.9543439,-95.2557961
Kyle O'Quinn,Norfolk State  ,36.8480161,-76.262085
Alec Burks,Colorado  ,40.007581,-105.2659417
Glenn Robinson III,Michigan  ,42.2780436,-83.7382241
Zhaire Smith,Texas Tech  ,33.5842591,-101.8782822
Marial Shayok,Iowa State  ,42.0266573,-93.6464516
Ryan Broekhoff,"	Valparaiso  ",41.4639394,-87.0438893
Mikal Bridges,Villanova  ,40.0378952,-75.3433315
Devin Booker,Kentucky  ,38.0306511,-84.5039697
Jevon Carter,West Virginia  ,39.6480359,-79.9697147
Cameron Johnson,North Carolina  ,35.9049122,-79.0469134
Kelly Oubre Jr.,Kansas  ,38.9543439,-95.2557961
Cheick Diallo,Kansas  ,38.9543439,-95.2557961
Aron Baynes,Washington State  ,46.7319225,-117.1542121
Frank Kaminsky,Wisconsin  ,43.076592,-89.4124875
Deandre Ayton,Arizona  ,32.2318851,-110.9501094
Ty Jerome,Virginia  ,38.0335529,-78.5079772
Cameron Payne,Murray State  ,36.6163842,-88.3214979
Tariq Owens,Texas Tech  ,33.5842591,-101.8782822
CJ McCollum,Lehigh  ,40.6048687,-75.3775187
Hassan Whiteside,Marshall  ,38.4235252,-82.4264145
Damian Lillard,Weber State  ,41.1924682,-111.9444959
Gary Trent Jr.,Duke  ,36.0014258,-78.9382286
Carmelo Anthony,Syracuse  ,43.0391534,-76.1351158
Nassir Little,North Carolina  ,35.9049122,-79.0469134
Trevor Ariza,UCLA  ,34.068921,-118.4451811
Rodney Hood,Duke  ,36.0014258,-78.9382286
Caleb Swanigan,Purdue  ,40.4237054,-86.9211946
Wenyen Gabriel,"	Kentucky  ",38.0306511,-84.5039697
Jaylen Hoard,"	Wake Forest ",36.1355052,-80.2791958
Zach Collins,Gonzaga  ,47.6670321,-117.4014343
Jaylen Adams,St. Bonaventure  ,42.0794875,-78.4842703
Buddy Hield,Oklahoma  ,35.2058936,-97.4457137
Harrison Barnes,North Carolina  ,35.9049122,-79.0469134
Cory Joseph,Texas  ,30.2849185,-97.7340567
De'Aaron Fox,Kentucky  ,38.0306511,-84.5039697
Harry Giles,Duke  ,36.0014258,-78.9382286
Richaun Holmes,Bowling Green  ,41.3797788,-83.6300826
Justin James,Wyoming  ,41.3148754,-105.5665744
Kent Bazemore,Old Dominion  ,36.8858594,-76.3057051
Alex Len,Maryland  ,38.9869183,-76.9425543
DaQuan Jeffries,Oral Roberts ,36.0507991,-95.9536715
Jabari Parker,Duke  ,36.0014258,-78.9382286
Corey Brewer,Florida  ,29.6436325,-82.3549302
DeMar DeRozan,USC  ,34.0223519,-118.285117
Derrick White,Colorado  ,40.007581,-105.2659417
Rudy Gay,Connecticut  ,41.8077414,-72.2539805
Dejounte Murray,Washington  ,38.6487895,-90.3107962
Jakob Poeltl,Utah  ,40.7649368,-111.8421021
Bryn Forbes,Michigan State  ,42.701848,-84.4821719
Trey Lyles,Kentucky  ,38.0306511,-84.5039697
LaMarcus Aldridge,Texas  ,30.2849185,-97.7340567
Drew Eubanks,"	Oregon State  ",44.5637806,-123.2794443
Chimezie Metu,USC  ,34.0223519,-118.285117
Keldon Johnson,Kentucky  ,38.0306511,-84.5039697
Quinndary Weatherspoon,Mississippi State  ,33.4551742,-88.7943766
Tyler Zeller,North Carolina  ,35.9049122,-79.0469134
Terence Davis,"	Ole Miss ",34.3647349,-89.5383818
OG Anunoby,Indiana  ,39.1754487,-86.512627
Chris Boucher,Oregon  ,44.0448302,-123.0726055
Pascal Siakam,New Mexico State  ,32.2787745,-106.7479059
Rondae Hollis-Jefferson,Arizona  ,32.2318851,-110.9501094
Kyle Lowry,Villanova  ,40.0378952,-75.3433315
Norman Powell,UCLA  ,34.068921,-118.4451811
Matt Thomas,Iowa State  ,42.0266573,-93.6464516
Patrick McCaw,UNLV  ,36.1085197,-115.1431709
Malcolm Miller,Holy Cross  ,42.2392391,-71.8079608
Stanley Johnson,Arizona  ,32.2318851,-110.9501094
Oshae Brissett,"	Syracuse  ",43.0391534,-76.1351158
Paul Watson,Fresno State  ,36.8133631,-119.7460947
Royce O'Neale,Baylor  ,31.5488923,-97.1130573
Donovan Mitchell,Louisville  ,38.2122761,-85.7585023
Georges Niang,Iowa State  ,42.0266573,-93.6464516
Tony Bradley,North Carolina  ,35.9049122,-79.0469134
Mike Conley,Ohio State  ,40.0066723,-83.0304546
Jordan Clarkson,Missouri  ,38.9403808,-92.3277375
Ed Davis,North Carolina  ,35.9049122,-79.0469134
Juwan Morgan,Indiana  ,39.1754487,-86.512627
Rayjon Tucker,Little Rock ,34.7240568,-92.3388872
Miye Oni,Yale  ,41.3163244,-72.9223431
Nigel Williams-Goss,Gonzaga  ,47.6670321,-117.4014343
Jarrell Brantley,College of Charleston  ,32.7834441,-79.9370018
Justin Wright-Foreman,Hofstra  ,40.7166872,-73.5993965
Troy Brown Jr.,Oregon  ,44.0448302,-123.0726055
Bradley Beal,Florida  ,29.6436325,-82.3549302
Rui Hachimura,Gonzaga  ,47.6670321,-117.4014343
Thomas Bryant,Indiana  ,39.1754487,-86.512627
Moritz Wagner,Michigan  ,42.2780436,-83.7382241
Admiral Schofield,Tennessee  ,35.9544013,-83.9294564
Gary Payton II,Oregon State  ,44.5637806,-123.2794443
Jerome Robinson,Boston College  ,42.3355488,-71.1684945
Shabazz Napier,Connecticut  ,41.8077414,-72.2539805
Johnathan Williams,Gonzaga  ,47.6670321,-117.4014343
Jerian Grant,Notre Dame  ,41.7055716,-86.2353388
Jarrod Uthoff,Iowa  ,41.6627078,-91.5549771
John Wall,Kentucky  ,38.0306511,-84.5039697
Bol Bol,Oregon  ,44.0448302,-123.0726055
